"Title: Health Care Expenditures by State of Residence (in millions) | KFF"
"Timeframe: 2009"
"Location","Total Health Spending"
"United States","$2106233"
"Alabama","$30078"
"Alaska","$5975"
"Arizona","$37282"
"Arkansas","$18027"
"California","$229415"
"Colorado","$29138"
"Connecticut","$31062"
"Delaware","$7477"
"District of Columbia","$6338"
"Florida","$132765"
"Georgia","$53178"
"Hawaii","$8767"
"Idaho","$8810"
"Illinois","$87777"
"Indiana","$43345"
"Iowa","$20895"
"Kansas","$19056"
"Kentucky","$28821"
"Louisiana","$31123"
"Maine","$10892"
"Maryland","$43079"
"Massachusetts","$61012"
"Michigan","$67565"
"Minnesota","$39780"
"Mississippi","$19383"
"Missouri","$40645"
"Montana","$6530"
"Nebraska","$12877"
"Nevada","$15290"
"New Hampshire","$10698"
"New Jersey","$67907"
"New Mexico","$12758"
"New York","$164219"
"North Carolina","$60983"
"North Dakota","$5125"
"Ohio","$83497"
"Oklahoma","$24216"
"Oregon","$24764"
"Pennsylvania","$96969"
"Rhode Island","$8790"
"South Carolina","$29089"
"South Dakota","$5950"
"Tennessee","$40971"
"Texas","$148136"
"Utah","$13888"
"Vermont","$5289"
"Virginia","$50839"
"Washington","$45374"
"West Virginia","$14316"
"Wisconsin","$42183"
"Wyoming","$3887"


