"Title: Health Care Expenditures by State of Residence (in millions) | KFF"
"Timeframe: 2011"
"Location","Total Health Spending"
"United States","$2254675"
"Alabama","$31262"
"Alaska","$6749"
"Arizona","$39329"
"Arkansas","$19237"
"California","$253703"
"Colorado","$31042"
"Connecticut","$31975"
"Delaware","$8352"
"District of Columbia","$7157"
"Florida","$140543"
"Georgia","$55843"
"Hawaii","$8913"
"Idaho","$9588"
"Illinois","$93941"
"Indiana","$46300"
"Iowa","$22419"
"Kansas","$20291"
"Kentucky","$31022"
"Louisiana","$32600"
"Maine","$11404"
"Maryland","$46300"
"Massachusetts","$64287"
"Michigan","$72587"
"Minnesota","$42841"
"Mississippi","$20064"
"Missouri","$43673"
"Montana","$7132"
"Nebraska","$13954"
"Nevada","$16206"
"New Hampshire","$11511"
"New Jersey","$70362"
"New Mexico","$13554"
"New York","$175327"
"North Carolina","$64760"
"North Dakota","$5706"
"Ohio","$86452"
"Oklahoma","$26284"
"Oregon","$27057"
"Pennsylvania","$106707"
"Rhode Island","$9132"
"South Carolina","$31018"
"South Dakota","$6717"
"Tennessee","$43128"
"Texas","$160518"
"Utah","$14862"
"Vermont","$5776"
"Virginia","$55019"
"Washington","$47939"
"West Virginia","$15242"
"Wisconsin","$44646"
"Wyoming","$4246"


