"Title: Health Care Expenditures by State of Residence (in millions) | KFF"
"Timeframe: 2015"
"Location","Total Health Spending"
"United States","$2674089"
"Alabama","$37172"
"Alaska","$8462"
"Arizona","$47043"
"Arkansas","$22706"
"California","$311146"
"Colorado","$38589"
"Connecticut","$36941"
"Delaware","$10093"
"District of Columbia","$8463"
"Florida","$168417"
"Georgia","$71845"
"Hawaii","$11025"
"Idaho","$11308"
"Illinois","$106736"
"Indiana","$55323"
"Iowa","$26100"
"Kansas","$22221"
"Kentucky","$36787"
"Louisiana","$38275"
"Maine","$12747"
"Maryland","$53905"
"Massachusetts","$74842"
"Michigan","$83173"
"Minnesota","$50251"
"Mississippi","$23256"
"Missouri","$50190"
"Montana","$8607"
"Nebraska","$16231"
"Nevada","$20043"
"New Hampshire","$13057"
"New Jersey","$84116"
"New Mexico","$15505"
"New York","$202568"
"North Carolina","$76223"
"North Dakota","$7070"
"Ohio","$101747"
"Oklahoma","$30900"
"Oregon","$33909"
"Pennsylvania","$122294"
"Rhode Island","$10478"
"South Carolina","$36456"
"South Dakota","$8228"
"Tennessee","$51481"
"Texas","$198251"
"Utah","$18237"
"Vermont","$6890"
"Virginia","$64847"
"Washington","$56652"
"West Virginia","$18335"
"Wisconsin","$49871"
"Wyoming","$5074"


