"Title: Health Care Expenditures by State of Residence (in millions) | KFF"
"Timeframe: 2014"
"Location","Total Health Spending"
"United States","$2527325"
"Alabama","$35248"
"Alaska","$7765"
"Arizona","$44177"
"Arkansas","$21624"
"California","$288330"
"Colorado","$35757"
"Connecticut","$35350"
"Delaware","$9577"
"District of Columbia","$7947"
"Florida","$158144"
"Georgia","$66692"
"Hawaii","$10225"
"Idaho","$10797"
"Illinois","$103304"
"Indiana","$52752"
"Iowa","$24782"
"Kansas","$21381"
"Kentucky","$35183"
"Louisiana","$36493"
"Maine","$12134"
"Maryland","$51102"
"Massachusetts","$70311"
"Michigan","$79133"
"Minnesota","$48633"
"Mississippi","$22439"
"Missouri","$47429"
"Montana","$8122"
"Nebraska","$15368"
"Nevada","$18951"
"New Hampshire","$12498"
"New Jersey","$79880"
"New Mexico","$14653"
"New York","$192710"
"North Carolina","$71488"
"North Dakota","$6652"
"Ohio","$97506"
"Oklahoma","$29706"
"Oregon","$31323"
"Pennsylvania","$116954"
"Rhode Island","$10020"
"South Carolina","$34800"
"South Dakota","$7735"
"Tennessee","$48548"
"Texas","$184011"
"Utah","$17117"
"Vermont","$6626"
"Virginia","$61943"
"Washington","$53652"
"West Virginia","$17368"
"Wisconsin","$48163"
"Wyoming","$4822"

