"Title: Health Care Expenditures by State of Residence (in millions) | KFF"
"Timeframe: 2010"
"Location","Total Health Spending"
"United States","$2181261"
"Alabama","$30655"
"Alaska","$6373"
"Arizona","$38573"
"Arkansas","$18636"
"California","$241845"
"Colorado","$29941"
"Connecticut","$31608"
"Delaware","$7919"
"District of Columbia","$6726"
"Florida","$136984"
"Georgia","$53917"
"Hawaii","$8785"
"Idaho","$9282"
"Illinois","$91925"
"Indiana","$44522"
"Iowa","$21647"
"Kansas","$19446"
"Kentucky","$29836"
"Louisiana","$32660"
"Maine","$11076"
"Maryland","$44829"
"Massachusetts","$62599"
"Michigan","$70023"
"Minnesota","$41429"
"Mississippi","$19471"
"Missouri","$41915"
"Montana","$6855"
"Nebraska","$13550"
"Nevada","$15643"
"New Hampshire","$11120"
"New Jersey","$68770"
"New Mexico","$13276"
"New York","$169932"
"North Carolina","$62408"
"North Dakota","$5406"
"Ohio","$85358"
"Oklahoma","$25057"
"Oregon","$25903"
"Pennsylvania","$102564"
"Rhode Island","$8916"
"South Carolina","$30164"
"South Dakota","$6339"
"Tennessee","$42134"
"Texas","$154260"
"Utah","$14245"
"Vermont","$5539"
"Virginia","$52541"
"Washington","$46608"
"West Virginia","$14687"
"Wisconsin","$43276"
"Wyoming","$4090"
