"Title: Health Care Expenditures by State of Residence (in millions) | KFF"
"Timeframe: 2019"
"Location","Total Health Spending"
"United States","$3175230"
"Alabama","$42903"
"Alaska","$9702"
"Arizona","$59392"
"Arkansas","$26744"
"California","$379715"
"Colorado","$47715"
"Connecticut","$42190"
"Delaware","$11928"
"District of Columbia","$9869"
"Florida","$203957"
"Georgia","$87607"
"Hawaii","$13526"
"Idaho","$13817"
"Illinois","$120291"
"Indiana","$66818"
"Iowa","$29046"
"Kansas","$25470"
"Kentucky","$43579"
"Louisiana","$44986"
"Maine","$15461"
"Maryland","$62052"
"Massachusetts","$87764"
"Michigan","$95171"
"Minnesota","$59276"
"Mississippi","$26043"
"Missouri","$57910"
"Montana","$10496"
"Nebraska","$19166"
"Nevada","$25079"
"New Hampshire","$15391"
"New Jersey","$100152"
"New Mexico","$17761"
"New York","$251696"
"North Carolina","$90508"
"North Dakota","$8136"
"Ohio","$118988"
"Oklahoma","$35343"
"Oregon","$40623"
"Pennsylvania","$143026"
"Rhode Island","$11627"
"South Carolina","$43040"
"South Dakota","$10315"
"Tennessee","$60294"
"Texas","$232714"
"Utah","$23042"
"Vermont","$7588"
"Virginia","$75519"
"Washington","$68253"
"West Virginia","$21456"
"Wisconsin","$56218"
"Wyoming","$5866"


