"Title: Health Care Expenditures by State of Residence (in millions) | KFF"
"Timeframe: 2018"
"Location","Total Health Spending"
"United States","$3021796"
"Alabama","$40810"
"Alaska","$9352"
"Arizona","$55997"
"Arkansas","$25740"
"California","$357648"
"Colorado","$45566"
"Connecticut","$40671"
"Delaware","$11382"
"District of Columbia","$9497"
"Florida","$194444"
"Georgia","$82515"
"Hawaii","$12711"
"Idaho","$13043"
"Illinois","$116019"
"Indiana","$62275"
"Iowa","$27757"
"Kansas","$24411"
"Kentucky","$41659"
"Louisiana","$42994"
"Maine","$14674"
"Maryland","$60022"
"Massachusetts","$84112"
"Michigan","$91302"
"Minnesota","$57064"
"Mississippi","$25106"
"Missouri","$55327"
"Montana","$9932"
"Nebraska","$18278"
"Nevada","$23919"
"New Hampshire","$14871"
"New Jersey","$94830"
"New Mexico","$17071"
"New York","$236451"
"North Carolina","$86089"
"North Dakota","$7805"
"Ohio","$112454"
"Oklahoma","$34014"
"Oregon","$38354"
"Pennsylvania","$139741"
"Rhode Island","$11084"
"South Carolina","$40606"
"South Dakota","$9749"
"Tennessee","$58053"
"Texas","$220736"
"Utah","$22110"
"Vermont","$7371"
"Virginia","$71703"
"Washington","$64637"
"West Virginia","$20475"
"Wisconsin","$53699"
"Wyoming","$5667"


