"Title: Health Care Expenditures by State of Residence (in millions) | KFF"
"Timeframe: 2012"
"Location","Total Health Spending"
"United States","$2346962"
"Alabama","$32740"
"Alaska","$7257"
"Arizona","$40692"
"Arkansas","$19999"
"California","$267048"
"Colorado","$32311"
"Connecticut","$33181"
"Delaware","$8648"
"District of Columbia","$7264"
"Florida","$146874"
"Georgia","$59233"
"Hawaii","$9401"
"Idaho","$10027"
"Illinois","$96681"
"Indiana","$49815"
"Iowa","$23222"
"Kansas","$21313"
"Kentucky","$31808"
"Louisiana","$33464"
"Maine","$11625"
"Maryland","$47757"
"Massachusetts","$66322"
"Michigan","$75017"
"Minnesota","$44323"
"Mississippi","$21518"
"Missouri","$45426"
"Montana","$7492"
"Nebraska","$14504"
"Nevada","$16623"
"New Hampshire","$11869"
"New Jersey","$73747"
"New Mexico","$13944"
"New York","$177831"
"North Carolina","$67949"
"North Dakota","$5939"
"Ohio","$90723"
"Oklahoma","$27547"
"Oregon","$27922"
"Pennsylvania","$109526"
"Rhode Island","$9346"
"South Carolina","$32017"
"South Dakota","$7048"
"Tennessee","$45261"
"Texas","$168887"
"Utah","$15623"
"Vermont","$6062"
"Virginia","$57677"
"Washington","$50584"
"West Virginia","$16182"
"Wisconsin","$45228"
"Wyoming","$4469"


