"Title: Health Care Expenditures by State of Residence (in millions) | KFF"
"Timeframe: 2016"
"Location","Total Health Spending"
"United States","$2795322"
"Alabama","$38778"
"Alaska","$8734"
"Arizona","$49926"
"Arkansas","$24172"
"California","$325931"
"Colorado","$40595"
"Connecticut","$38322"
"Delaware","$10386"
"District of Columbia","$8836"
"Florida","$175724"
"Georgia","$75794"
"Hawaii","$11490"
"Idaho","$11744"
"Illinois","$110651"
"Indiana","$58251"
"Iowa","$26519"
"Kansas","$22851"
"Kentucky","$38238"
"Louisiana","$39987"
"Maine","$13347"
"Maryland","$55993"
"Massachusetts","$78446"
"Michigan","$86674"
"Minnesota","$52711"
"Mississippi","$24434"
"Missouri","$52437"
"Montana","$9046"
"Nebraska","$17050"
"Nevada","$21537"
"New Hampshire","$13648"
"New Jersey","$88551"
"New Mexico","$16148"
"New York","$214568"
"North Carolina","$80133"
"North Dakota","$7321"
"Ohio","$105481"
"Oklahoma","$31943"
"Oregon","$35607"
"Pennsylvania","$127630"
"Rhode Island","$10747"
"South Carolina","$38062"
"South Dakota","$8676"
"Tennessee","$53641"
"Texas","$206379"
"Utah","$19477"
"Vermont","$7022"
"Virginia","$67233"
"Washington","$59104"
"West Virginia","$19219"
"Wisconsin","$50874"
"Wyoming","$5253"

