"Title: Health Care Expenditures by State of Residence (in millions) | KFF"
"Timeframe: 2017"
"Location","Total Health Spending"
"United States","$2905160"
"Alabama","$39778"
"Alaska","$9116"
"Arizona","$53135"
"Arkansas","$25260"
"California","$338088"
"Colorado","$42777"
"Connecticut","$39289"
"Delaware","$10962"
"District of Columbia","$9154"
"Florida","$184902"
"Georgia","$79219"
"Hawaii","$12113"
"Idaho","$12481"
"Illinois","$113085"
"Indiana","$60057"
"Iowa","$26801"
"Kansas","$23460"
"Kentucky","$39917"
"Louisiana","$41987"
"Maine","$13891"
"Maryland","$57825"
"Massachusetts","$80621"
"Michigan","$89192"
"Minnesota","$54480"
"Mississippi","$25096"
"Missouri","$53929"
"Montana","$9516"
"Nebraska","$17616"
"Nevada","$22714"
"New Hampshire","$14278"
"New Jersey","$91907"
"New Mexico","$16687"
"New York","$226458"
"North Carolina","$83286"
"North Dakota","$7538"
"Ohio","$109656"
"Oklahoma","$32972"
"Oregon","$36607"
"Pennsylvania","$132318"
"Rhode Island","$10872"
"South Carolina","$39488"
"South Dakota","$9122"
"Tennessee","$56977"
"Texas","$214214"
"Utah","$20571"
"Vermont","$7202"
"Virginia","$69263"
"Washington","$61489"
"West Virginia","$20037"
"Wisconsin","$52250"
"Wyoming","$5508"


